Country,Population,Area,GDP,Continent
Afghanistan,38928346,652860,19101.35,Asia
Albania,2877797,27400,15278.08,Europe
Algeria,43851044,2381740,169988.24,Africa
Andorra,77265,470,3154.06,Europe
Angola,32866272,1246700,94635.42,Africa
Antigua and Barbuda,97929,440,1727.76,America
Argentina,45195774,2736690,449663.45,America
Armenia,2963243,28470,13672.8,Europe
Australia,25499884,7682300,1392680.59,Oceania
Austria,9006398,82409,446314.74,Europe
Azerbaijan,10139177,82658,48047.65,Europe
Bahamas,393244,10010,12827,America
Bahrain,1701575,760,38574.07,Asia
Bangladesh,164689383,130170,302571.25,Asia
Barbados,287375,430,5209,America
Belarus,9449323,202910,63080.46,Europe
Belgium,11589623,30280,529606.71,Europe
Belize,397628,22810,1879.61,America
Benin,12123200,112760,14390.71,Africa
Bhutan,771608,38117,2446.67,Asia
Bolivia,11673021,1083300,40895.32,America
Bosnia and Herzegovina,3280819,51000,20047.85,Europe
Botswana,2351627,566730,18340.51,Africa
Brazil,212559417,8358140,1839758.04,America
Brunei,437479,5270,13469.42,Asia
Bulgaria,6948445,108560,67927.18,Europe
Burkina Faso,20903273,273600,15745.81,Africa
Burma,54409800,653290,76085.85,Asia
Burundi,11890784,25680,3012.33,Africa
Cabo Verde,555987,4030,1981.85,Africa
Cambodia,16718965,176520,27089.39,Asia
Cameroon,26545863,472710,38760.47,Africa
Canada,37742154,9093510,1736425.63,America
Central African Republic,4829767,622980,2220.31,Africa
Chad,16425864,1259200,11314.95,Africa
Chile,19116201,743532,282318.16,America
China,1447470092,9389291,14762791.84,Asia
Colombia,50882891,1109500,323802.81,America
Comoros,869601,1861,1185.73,Africa
Congo (Brazzaville),5518087,341500,10820.59,Africa
Congo (Kinshasa),89561403,2267050,47319.62,Africa
Costa Rica,5094118,51060,61773.94,America
Cote d'Ivoire,26378274,318000,58792.21,Africa
Croatia,4105267,55960,60415.55,Europe
Cuba,11326616,106440,100023,America
Cyprus,1207359,9240,24564.65,Europe
Czechia,10708981,77240,246489.25,Europe
Denmark,5841065,43826,350911.02,Europe
Djibouti,988000,23180,3318.72,Africa
Dominica,71986,750,596.03,America
Dominican Republic,10847910,48320,88941.3,America
Ecuador,17643054,248360,107435.66,America
Egypt,102334404,995450,303175.13,Africa
El Salvador,6486205,20720,27022.64,America
Equatorial Guinea,1402985,28050,11026.77,Africa
Eritrea,3546421,101000,2065,Africa
Estonia,1326535,42390,31386.95,Europe
Eswatini,1160164,17200,4405.41,Africa
Ethiopia,114963588,1000000,96107.66,Africa
Fiji,896445,18270,5535.55,Oceania
Finland,5540720,303890,268761.2,Europe
France,68147691,657766,2721648.27,Europe
Gabon,2225734,257670,16657.96,Africa
Gambia,2416668,10120,1763.82,Africa
Georgia,3989167,69490,17743.2,Europe
Germany,83783942,348560,3845630.03,Europe
Ghana,31072940,227540,66983.63,Africa
Greece,10423054,128900,209852.76,Europe
Grenada,56770,410450,1228.17,America
Guatemala,17915568,107160,76710.39,America
Guinea,13132795,245720,13590.28,America
Guinea-Bissau,1968001,28120,1340.39,Africa
Guyana,786552,196850,4280.44,America
Haiti,11402528,27560,8498.98,America
Honduras,9904607,111890,25095.4,America
Hungary,9660351,90530,160967.16,Europe
Iceland,341243,100250,24188.04,Europe
India,1380004385,2973190,2875142.31,Asia
Indonesia,273523615,1811570,1119190.78,Asia
Iran,83992949,1628550,445345.28,Asia
Iraq,40222493,434320,234094.04,Asia
Ireland,4937786,68890,388698.71,Europe
Israel,8655535,21640,395098.67,Asia
Italy,60461826,294140,2001244.39,Europe
Jamaica,2961167,10830,16458.07,America
Japan,126476461,364555,5081769.54,Asia
Jordan,10203134,88780,43743.66,Asia
Kazakhstan,18776707,2699700,180161.74,Asia
Kenya,53771296,569140,95503.09,Africa
South Korea,51269185,97230,1642383.22,Asia
Kosovo,1810463,10887,7926.11,Europe
Kuwait,4270571,17820,134761.2,Asia
Kyrgyzstan,6524195,191800,8454.62,Asia
Laos,7275560,230800,18173.84,Asia
Latvia,1886198,62200,34117.2,Europe
Lebanon,6825445,10230,53367.04,Asia
Lesotho,2142249,30360,2460.07,Africa
Liberia,5057681,96320,3070.52,Africa
Libya,6871292,1759540,52076.25,Africa
Liechtenstein,38128,160,6552.86,Europe
Lithuania,2722289,62674,54219.32,Europe
Luxembourg,625978,2590,71104.92,Europe
Madagascar,27691018,581795,14083.91,Africa
Malawi,19129952,94280,7666.7,Africa
Malaysia,32365999,328550,364701.52,Asia
Maldives,540544,300,5729.25,Asia
Mali,20250833,1220190,17510.14,Africa
Malta,441543,320,14786.16,Europe
Mauritania,4649658,1030700,7593.75,Africa
Mauritius,1271768,2030,14180.44,Africa
Mexico,128932753,1943950,1258286.72,America
Moldova,4033963,32850,11955.44,Europe
Monaco,39242,1,7188.24,Europe
Mongolia,3278290,1553560,13852.85,Asia
Montenegro,628066,13450,5494.74,Europe
Morocco,36910560,446300,118725.28,Africa
Mozambique,31255435,786380,14934.16,Africa
Namibia,2540905,823290,12366.53,Africa
Nepal,29136808,143350,30641.38,Asia
Netherlands,17474830,34706,915254.4,Europe
New Zealand,4842780,263820,206928.77,Oceania
Nicaragua,6624554,120340,12520.92,America
Niger,24206644,1266700,12928.15,Africa
Nigeria,206139589,910770,448120.43,Africa
North Macedonia,2083374,25220,12694.82,Europe
Norway,5421241,365268,403336.36,Europe
Oman,5106626,309500,76983.09,Asia
Pakistan,220892340,770880,278221.91,Asia
Panama,4314767,74340,66800.8,America
Papua New Guinea,8947024,452860,24969.61,Oceania
Paraguay,7132538,397300,38145.29,America
Peru,32971854,1280000,226848.05,America
Philippines,109581078,298170,376795.51,Asia
Poland,37846611,306230,592164.4,Europe
Portugal,10196709,91590,237686.08,Europe
Qatar,2881053,11610,183466.21,Asia
Romania,19237691,230170,250077.44,Europe
Russia,145934462,16376870,1699876.58,Europe
Rwanda,12952218,24670,10122.47,Africa
Saint Kitts and Nevis,53199,260,1050.99,America
Saint Lucia,183627,610,2122.45,America
Saint Vincent and the Grenadines,110940,390,825.39,America
San Marino,33931,60,1637.93,Europe
Sao Tome and Principe,219159,960,429.02,Africa
Saudi Arabia,34813871,2149690,792966.84,Asia
Senegal,16743927,192530,23578.08,Africa
Serbia,8737371,87460,51409.17,Europe
Seychelles,98347,460,1698.84,Africa
Sierra Leone,7976983,72180,3941.47,Africa
Singapore,5850342,700,372062.53,Asia
Slovakia,5459642,48088,105422.3,Europe
Slovenia,2078938,20140,53742.16,Europe
Somalia,15893222,627340,917.04,Africa
South Africa,59308690,1213090,351431.65,Africa
South Sudan,11193725,610952,11997.8,Africa
Spain,46754778,498800,1394116.31,Europe
Sri Lanka,21413249,62710,84008.78,Asia
Sudan,43849260,1765048,18902.28,Africa
Suriname,586632,156000,3985.25,America
Sweden,10099265,410340,530832.91,Europe
Switzerland,8654622,39516,703082.44,Europe
Syria,17500658,183630,40405.01,Asia
Taiwan,23816775,35410,589391,Asia
Tajikistan,9537645,139960,8116.63,Asia
Tanzania,59734218,885800,63177.07,Africa
Thailand,69799978,510890,543649.98,Asia
Timor-Leste,1318445,14870,1673.54,Asia
Togo,8278724,54390,5459.98,Africa
Trinidad and Tobago,1399488,5130,24100.2,America
Tunisia,11818619,155360,38797.71,Africa
Turkey,84339067,769630,754411.71,Europe
Uganda,45741007,199810,34387.23,Africa
Ukraine,43733762,579320,153781.07,Europe
United Arab Emirates,9890402,83600,421142.27,Asia
United Kingdom,68517621,257180,2857480.18,Europe
United States,334308644,9158020,21544825,America
Uruguay,3473730,175020,56045.91,America
Uzbekistan,33469203,425400,57921.29,Asia
Venezuela,28435940,882050,482359.32,America
Vietnam,97338579,310070,261921.24,Asia
West Bank and Gaza,5101414,6020,14615.9,Asia
Western Sahara,597339,266000,908.9,Africa
Yemen,29825964,527970,27591.26,Asia
Zambia,18383955,743390,23064.72,Africa
Zimbabwe,14862924,386850,21440.76,Africa